'Elapsed time','V4'
'0:01.976',0.495
'0:01.980',0.505
'0:01.984',0.605
'0:01.988',0.835
'0:01.992',1.230
'0:01.996',1.675
'0:02.000',2.110
'0:02.004',2.380
'0:02.008',2.405
'0:02.012',2.140
'0:02.016',1.715
'0:02.020',1.250
'0:02.024',0.860
'0:02.028',0.655
'0:02.032',0.570
'0:02.036',0.555
'0:02.040',0.545
'0:02.044',0.555
'0:02.048',0.560
'0:02.052',0.540
'0:02.056',0.530
'0:02.060',0.520
'0:02.064',0.500
'0:02.068',0.490
'0:02.072',0.495
'0:02.076',0.495
'0:02.080',0.495
'0:02.084',0.495
'0:02.088',0.500
'0:02.092',0.505
'0:02.096',0.515
'0:02.100',0.505
'0:02.104',0.495
'0:02.108',0.485
'0:02.112',0.495
'0:02.116',0.500
'0:02.120',0.510
'0:02.124',0.510
'0:02.128',0.515
'0:02.132',0.540
'0:02.136',0.555
'0:02.140',0.565
'0:02.144',0.560
'0:02.148',0.535
'0:02.152',0.525
'0:02.156',0.525
'0:02.160',0.535
'0:02.164',0.560
'0:02.168',0.575
'0:02.172',0.575
'0:02.176',0.560
'0:02.180',0.555
'0:02.184',0.570
'0:02.188',0.580
'0:02.192',0.570
'0:02.196',0.570
'0:02.200',0.580
'0:02.204',0.620
'0:02.208',0.645
'0:02.212',0.670
'0:02.216',0.685
'0:02.220',0.690
'0:02.224',0.710
'0:02.228',0.725
'0:02.232',0.735
'0:02.236',0.750
'0:02.240',0.755
'0:02.244',0.780
'0:02.248',0.790
'0:02.252',0.810
'0:02.256',0.815
'0:02.260',0.830
'0:02.264',0.830
'0:02.268',0.820
'0:02.272',0.795
'0:02.276',0.765
'0:02.280',0.725
'0:02.284',0.710
'0:02.288',0.690
'0:02.292',0.695
'0:02.296',0.685
'0:02.300',0.645
'0:02.304',0.620
'0:02.308',0.605
'0:02.312',0.595
'0:02.316',0.565
'0:02.320',0.570
'0:02.324',0.555
'0:02.328',0.555
'0:02.332',0.540
'0:02.336',0.540
'0:02.340',0.560
'0:02.344',0.545
'0:02.348',0.535
'0:02.352',0.525
'0:02.356',0.510
'0:02.360',0.515
'0:02.364',0.525
'0:02.368',0.535
'0:02.372',0.530
'0:02.376',0.530
'0:02.380',0.505
'0:02.384',0.500
'0:02.388',0.500
'0:02.392',0.510
'0:02.396',0.515
'0:02.400',0.520
'0:02.404',0.515
'0:02.408',0.500
'0:02.412',0.495
'0:02.416',0.495
'0:02.420',0.500
'0:02.424',0.505
'0:02.428',0.520
'0:02.432',0.515
'0:02.436',0.510
'0:02.440',0.510
'0:02.444',0.515
'0:02.448',0.515
'0:02.452',0.515
'0:02.456',0.515
'0:02.460',0.525
'0:02.464',0.510
'0:02.468',0.525
'0:02.472',0.525
'0:02.476',0.515
'0:02.480',0.500
'0:02.484',0.475
'0:02.488',0.495
'0:02.492',0.500
'0:02.496',0.505
'0:02.500',0.510
'0:02.504',0.510
'0:02.508',0.515
'0:02.512',0.520
'0:02.516',0.515
'0:02.520',0.515
'0:02.524',0.520
'0:02.528',0.525
'0:02.532',0.520
'0:02.536',0.525
'0:02.540',0.515
'0:02.544',0.515
'0:02.548',0.515
'0:02.552',0.510
'0:02.556',0.515
'0:02.560',0.515
'0:02.564',0.530
'0:02.568',0.545
'0:02.572',0.555
'0:02.576',0.540
'0:02.580',0.535
'0:02.584',0.525
'0:02.588',0.510
'0:02.592',0.485
'0:02.596',0.475
'0:02.600',0.465
'0:02.604',0.455
'0:02.608',0.480
'0:02.612',0.490
'0:02.616',0.495
'0:02.620',0.495
'0:02.624',0.495
'0:02.628',0.495
'0:02.632',0.485
'0:02.636',0.490
'0:02.640',0.495
'0:02.644',0.500
'0:02.648',0.500
'0:02.652',0.485
'0:02.656',0.500
'0:02.660',0.495
'0:02.664',0.495
'0:02.668',0.495
'0:02.672',0.500
'0:02.676',0.500
'0:02.680',0.500
'0:02.684',0.495
'0:02.688',0.495
'0:02.692',0.490
'0:02.696',0.500
'0:02.700',0.515
'0:02.704',0.535
'0:02.708',0.555
'0:02.712',0.535
'0:02.716',0.510
'0:02.720',0.495
'0:02.724',0.475
'0:02.728',0.465
'0:02.732',0.485
'0:02.736',0.495
'0:02.740',0.510
'0:02.744',0.515
'0:02.748',0.500
'0:02.752',0.485
'0:02.756',0.475
'0:02.760',0.465
'0:02.764',0.490
'0:02.768',0.485
'0:02.772',0.480
'0:02.776',0.460
'0:02.780',0.465
'0:02.784',0.480
'0:02.788',0.500
'0:02.792',0.525
'0:02.796',0.525
'0:02.800',0.515
'0:02.804',0.495
'0:02.808',0.495
'0:02.812',0.500
'0:02.816',0.515
'0:02.820',0.510
'0:02.824',0.525
'0:02.828',0.520
'0:02.832',0.525
'0:02.836',0.525
'0:02.840',0.520
'0:02.844',0.560
'0:02.848',0.590
'0:02.852',0.595
'0:02.856',0.600
'0:02.860',0.610
'0:02.864',0.615
'0:02.868',0.625
'0:02.872',0.615
'0:02.876',0.575
'0:02.880',0.535
'0:02.884',0.530
'0:02.888',0.530
'0:02.892',0.535
'0:02.896',0.515
'0:02.900',0.510
'0:02.904',0.515
'0:02.908',0.515
'0:02.912',0.505
'0:02.916',0.495
'0:02.920',0.485
'0:02.924',0.490
'0:02.928',0.485
'0:02.932',0.495
'0:02.936',0.500
'0:02.940',0.525
'0:02.944',0.535
'0:02.948',0.530
'0:02.952',0.500
'0:02.956',0.485
'0:02.960',0.475
'0:02.964',0.495
'0:02.968',0.515
'0:02.972',0.495
'0:02.976',0.445
'0:02.980',0.425
'0:02.984',0.450
'0:02.988',0.535
'0:02.992',0.810
'0:02.996',1.200
'0:03.000',1.700
'0:03.004',2.175
'0:03.008',2.450
'0:03.012',2.405
'0:03.016',2.095
'0:03.020',1.645
'0:03.024',1.175
'0:03.028',0.815
'0:03.032',0.625
'0:03.036',0.570
'0:03.040',0.570
'0:03.044',0.560
'0:03.048',0.540
'0:03.052',0.535
'0:03.056',0.535
'0:03.060',0.535
'0:03.064',0.525
'0:03.068',0.525
'0:03.072',0.515
'0:03.076',0.480
'0:03.080',0.435
'0:03.084',0.430
'0:03.088',0.455
'0:03.092',0.465
'0:03.096',0.460
'0:03.100',0.465
'0:03.104',0.475
'0:03.108',0.485
'0:03.112',0.495
'0:03.116',0.460
'0:03.120',0.485
'0:03.124',0.475
'0:03.128',0.485
'0:03.132',0.500
'0:03.136',0.535
'0:03.140',0.535
'0:03.144',0.515
'0:03.148',0.500
'0:03.152',0.495
'0:03.156',0.510
'0:03.160',0.510
'0:03.164',0.510
'0:03.168',0.515
'0:03.172',0.500
'0:03.176',0.500
'0:03.180',0.530
'0:03.184',0.540
'0:03.188',0.560
'0:03.192',0.570
'0:03.196',0.590
'0:03.200',0.600
'0:03.204',0.615
'0:03.208',0.630
'0:03.212',0.650
'0:03.216',0.655
'0:03.220',0.665
'0:03.224',0.680
'0:03.228',0.695
'0:03.232',0.715
'0:03.236',0.735
'0:03.240',0.745
'0:03.244',0.750
'0:03.248',0.755
'0:03.252',0.775
'0:03.256',0.805
'0:03.260',0.825
'0:03.264',0.835
'0:03.268',0.830
'0:03.272',0.810
'0:03.276',0.775
'0:03.280',0.730
'0:03.284',0.695
'0:03.288',0.680
'0:03.292',0.665
'0:03.296',0.650
'0:03.300',0.640
'0:03.304',0.620
'0:03.308',0.595
'0:03.312',0.580
'0:03.316',0.565
'0:03.320',0.555
'0:03.324',0.540
'0:03.328',0.535
'0:03.332',0.515
'0:03.336',0.520
'0:03.340',0.515
'0:03.344',0.500
'0:03.348',0.510
'0:03.352',0.495
'0:03.356',0.495
'0:03.360',0.485
'0:03.364',0.460
'0:03.368',0.485
'0:03.372',0.495
'0:03.376',0.495
'0:03.380',0.495
'0:03.384',0.490
'0:03.388',0.515
'0:03.392',0.515
'0:03.396',0.520
'0:03.400',0.490
'0:03.404',0.465
'0:03.408',0.450
'0:03.412',0.450
'0:03.416',0.445
'0:03.420',0.450
'0:03.424',0.465
'0:03.428',0.465
'0:03.432',0.460
'0:03.436',0.475
'0:03.440',0.475
'0:03.444',0.465
'0:03.448',0.465
'0:03.452',0.465
'0:03.456',0.475
'0:03.460',0.465
'0:03.464',0.465
'0:03.468',0.465
'0:03.472',0.475
'0:03.476',0.480
'0:03.480',0.490
'0:03.484',0.480
'0:03.488',0.465
'0:03.492',0.455
'0:03.496',0.465
'0:03.500',0.475
'0:03.504',0.475
'0:03.508',0.465
'0:03.512',0.450
'0:03.516',0.455
'0:03.520',0.475
'0:03.524',0.485
'0:03.528',0.495
'0:03.532',0.485
'0:03.536',0.510
'0:03.540',0.515
'0:03.544',0.495
'0:03.548',0.450
'0:03.552',0.430
'0:03.556',0.415
'0:03.560',0.415
'0:03.564',0.420
'0:03.568',0.415
'0:03.572',0.405
'0:03.576',0.415
'0:03.580',0.415
'0:03.584',0.430
'0:03.588',0.435
'0:03.592',0.445
'0:03.596',0.445
'0:03.600',0.455
'0:03.604',0.455
'0:03.608',0.450
'0:03.612',0.440
'0:03.616',0.435
'0:03.620',0.435
'0:03.624',0.440
'0:03.628',0.450
'0:03.632',0.485
'0:03.636',0.515
'0:03.640',0.515
'0:03.644',0.480
'0:03.648',0.410
'0:03.652',0.365
'0:03.656',0.370
'0:03.660',0.400
'0:03.664',0.410
'0:03.668',0.415
'0:03.672',0.430
'0:03.676',0.425
'0:03.680',0.450
'0:03.684',0.450
'0:03.688',0.440
'0:03.692',0.440
'0:03.696',0.440
'0:03.700',0.425
'0:03.704',0.440
'0:03.708',0.435
'0:03.712',0.440
'0:03.716',0.440
'0:03.720',0.430
'0:03.724',0.450
'0:03.728',0.450
'0:03.732',0.450
'0:03.736',0.440
'0:03.740',0.435
'0:03.744',0.450
'0:03.748',0.445
'0:03.752',0.455
'0:03.756',0.480
'0:03.760',0.475
'0:03.764',0.455
'0:03.768',0.455
'0:03.772',0.455
'0:03.776',0.450
'0:03.780',0.445
'0:03.784',0.440
'0:03.788',0.430
'0:03.792',0.435
'0:03.796',0.430
'0:03.800',0.440
'0:03.804',0.450
'0:03.808',0.455
'0:03.812',0.465
'0:03.816',0.495
'0:03.820',0.495
'0:03.824',0.485
'0:03.828',0.455
'0:03.832',0.430
'0:03.836',0.420
'0:03.840',0.445
'0:03.844',0.460
'0:03.848',0.490
'0:03.852',0.515
'0:03.856',0.520
'0:03.860',0.530
'0:03.864',0.540
'0:03.868',0.535
'0:03.872',0.570
'0:03.876',0.555
'0:03.880',0.555
'0:03.884',0.540
'0:03.888',0.525
'0:03.892',0.535
'0:03.896',0.525
'0:03.900',0.515
'0:03.904',0.500
'0:03.908',0.480
'0:03.912',0.485
'0:03.916',0.475
'0:03.920',0.475
'0:03.924',0.455
'0:03.928',0.435
'0:03.932',0.435
'0:03.936',0.450
'0:03.940',0.455
'0:03.944',0.445
'0:03.948',0.440
'0:03.952',0.440
'0:03.956',0.450
'0:03.960',0.485
'0:03.964',0.485
'0:03.968',0.475
'0:03.972',0.450
'0:03.976',0.450
'0:03.980',0.455
'0:03.984',0.510
'0:03.988',0.665
'0:03.992',0.985
'0:03.996',1.440
'0:04.000',1.920
'0:04.004',2.315
'0:04.008',2.450
'0:04.012',2.265
'0:04.016',1.845
'0:04.020',1.405
'0:04.024',0.980
'0:04.028',0.680
'0:04.032',0.580
'0:04.036',0.535
'0:04.040',0.535
'0:04.044',0.525
'0:04.048',0.505
'0:04.052',0.490
'0:04.056',0.450
'0:04.060',0.460
'0:04.064',0.475
'0:04.068',0.465
'0:04.072',0.475
'0:04.076',0.475
'0:04.080',0.480
'0:04.084',0.465
'0:04.088',0.465
'0:04.092',0.465
'0:04.096',0.475
'0:04.100',0.475
'0:04.104',0.475
'0:04.108',0.475
'0:04.112',0.475
'0:04.116',0.480
'0:04.120',0.475
'0:04.124',0.485
'0:04.128',0.500
'0:04.132',0.505
'0:04.136',0.510
'0:04.140',0.510
'0:04.144',0.510
'0:04.148',0.490
'0:04.152',0.480
'0:04.156',0.480
'0:04.160',0.485
'0:04.164',0.495
'0:04.168',0.510
'0:04.172',0.520
'0:04.176',0.540
'0:04.180',0.540
'0:04.184',0.555
'0:04.188',0.570
'0:04.192',0.580
'0:04.196',0.575
'0:04.200',0.595
'0:04.204',0.610
'0:04.208',0.620
'0:04.212',0.645
'0:04.216',0.655
'0:04.220',0.660
'0:04.224',0.695
'0:04.228',0.680
'0:04.232',0.705
'0:04.236',0.715
'0:04.240',0.725
'0:04.244',0.760
'0:04.248',0.750
'0:04.252',0.765
'0:04.256',0.760
'0:04.260',0.775
'0:04.264',0.770
'0:04.268',0.775
'0:04.272',0.770
'0:04.276',0.745
'0:04.280',0.725
'0:04.284',0.705
'0:04.288',0.670
'0:04.292',0.660
'0:04.296',0.630
'0:04.300',0.605
'0:04.304',0.580
'0:04.308',0.560
'0:04.312',0.555
'0:04.316',0.540
'0:04.320',0.525
'0:04.324',0.510
'0:04.328',0.515
'0:04.332',0.505
'0:04.336',0.495
'0:04.340',0.485
'0:04.344',0.495
'0:04.348',0.485
'0:04.352',0.495
'0:04.356',0.495
'0:04.360',0.495
'0:04.364',0.490
'0:04.368',0.485
'0:04.372',0.485
'0:04.376',0.475
'0:04.380',0.480
'0:04.384',0.485
'0:04.388',0.480
'0:04.392',0.465
'0:04.396',0.485
'0:04.400',0.480
'0:04.404',0.480
'0:04.408',0.475
'0:04.412',0.450
'0:04.416',0.460
'0:04.420',0.455
'0:04.424',0.455
'0:04.428',0.455
'0:04.432',0.455
'0:04.436',0.450
'0:04.440',0.430
'0:04.444',0.435
'0:04.448',0.455
'0:04.452',0.475
'0:04.456',0.490
'0:04.460',0.490
'0:04.464',0.495
'0:04.468',0.490
'0:04.472',0.485
'0:04.476',0.475
'0:04.480',0.460
'0:04.484',0.465
'0:04.488',0.455
'0:04.492',0.465
'0:04.496',0.475
'0:04.500',0.475
'0:04.504',0.475
'0:04.508',0.475
'0:04.512',0.495
'0:04.516',0.490
'0:04.520',0.485
'0:04.524',0.495
'0:04.528',0.495
'0:04.532',0.490
'0:04.536',0.475
'0:04.540',0.465
'0:04.544',0.455
'0:04.548',0.435
'0:04.552',0.440
'0:04.556',0.430
'0:04.560',0.440
'0:04.564',0.445
'0:04.568',0.445
'0:04.572',0.450
'0:04.576',0.450
'0:04.580',0.425
'0:04.584',0.450
'0:04.588',0.445
'0:04.592',0.450
'0:04.596',0.450
'0:04.600',0.435
'0:04.604',0.450
'0:04.608',0.450
'0:04.612',0.455
'0:04.616',0.450
'0:04.620',0.450
'0:04.624',0.450
'0:04.628',0.450
'0:04.632',0.455
'0:04.636',0.450
'0:04.640',0.450
'0:04.644',0.445
'0:04.648',0.450
'0:04.652',0.455
'0:04.656',0.450
'0:04.660',0.445
'0:04.664',0.445
'0:04.668',0.440
'0:04.672',0.445
'0:04.676',0.445
'0:04.680',0.455
'0:04.684',0.450
'0:04.688',0.455
'0:04.692',0.465
'0:04.696',0.475
'0:04.700',0.465
'0:04.704',0.460
'0:04.708',0.450
'0:04.712',0.450
'0:04.716',0.445
'0:04.720',0.450
'0:04.724',0.450
'0:04.728',0.445
'0:04.732',0.450
'0:04.736',0.450
'0:04.740',0.450
'0:04.744',0.455
'0:04.748',0.435
'0:04.752',0.460
'0:04.756',0.455
'0:04.760',0.455
'0:04.764',0.465
'0:04.768',0.450
'0:04.772',0.475
'0:04.776',0.450
'0:04.780',0.435
'0:04.784',0.430
'0:04.788',0.425
'0:04.792',0.440
'0:04.796',0.450
'0:04.800',0.460
'0:04.804',0.455
'0:04.808',0.455
'0:04.812',0.460
'0:04.816',0.475
'0:04.820',0.465
'0:04.824',0.465
'0:04.828',0.465
'0:04.832',0.475
'0:04.836',0.475
'0:04.840',0.485
'0:04.844',0.480
'0:04.848',0.480
'0:04.852',0.495
'0:04.856',0.510
'0:04.860',0.525
'0:04.864',0.530
'0:04.868',0.520
'0:04.872',0.515
'0:04.876',0.525
'0:04.880',0.540
'0:04.884',0.570
'0:04.888',0.580
'0:04.892',0.580
'0:04.896',0.570
'0:04.900',0.545
'0:04.904',0.535
'0:04.908',0.530
'0:04.912',0.530
'0:04.916',0.500
'0:04.920',0.500
'0:04.924',0.500
'0:04.928',0.495
'0:04.932',0.485
'0:04.936',0.455
'0:04.940',0.475
'0:04.944',0.455
'0:04.948',0.450
'0:04.952',0.445
'0:04.956',0.445
'0:04.960',0.450
'0:04.964',0.445
'0:04.968',0.455
'0:04.972',0.455
'0:04.976',0.455
'0:04.980',0.465
'0:04.984',0.495
'0:04.988',0.495
'0:04.992',0.490
'0:04.996',0.485
'0:05.000',0.515
'0:05.004',0.660
'0:05.008',0.965
'0:05.012',1.390
'0:05.016',1.845
'0:05.020',2.195
'0:05.024',2.325
'0:05.028',2.170
'0:05.032',1.810
'0:05.036',1.360
'0:05.040',0.955
'0:05.044',0.680
'0:05.048',0.575
'0:05.052',0.560
'0:05.056',0.570
'0:05.060',0.565
'0:05.064',0.545
'0:05.068',0.535
